tipo,Nombre_de_la_Serie,valor,categoria
Aguascalientes,2016/08,126,estado
Aguascalientes,2016/09,154,estado
Aguascalientes,2016/10,268,estado
Aguascalientes,2016/11,197,estado
Aguascalientes,2016/12,22,estado
Aguascalientes,2017/01,0,estado
Aguascalientes,2017/02,301,estado
Aguascalientes,2017/03,97,estado
Aguascalientes,2017/04,114,estado
Aguascalientes,2017/05,270,estado
Aguascalientes,2017/06,229,estado
Aguascalientes,2017/07,253,estado
Aguascalientes,2017/08,185,estado
Aguascalientes,2017/09,129,estado
Aguascalientes,2017/10,54,estado
Aguascalientes,2017/11,214,estado
Aguascalientes,2017/12,167,estado
Aguascalientes,2018/01,17,estado
Aguascalientes,2018/02,121,estado
Aguascalientes,2018/03,96,estado
Aguascalientes,2018/04,116,estado
Aguascalientes,2018/05,176,estado
Aguascalientes,2018/06,187,estado
Aguascalientes,2018/07,175,estado
Aguascalientes,2018/08,198,estado
Aguascalientes,2018/09,145,estado
Aguascalientes,2018/10,222,estado
Aguascalientes,2018/11,76,estado
Aguascalientes,2018/12,0,estado
Aguascalientes,2019/01,0,estado
Aguascalientes,2019/02,0,estado
Aguascalientes,2019/03,0,estado
Aguascalientes,2019/04,0,estado
Aguascalientes,2019/05,23,estado
Aguascalientes,2019/06,36,estado
Aguascalientes,2019/07,13,estado
Aguascalientes,2019/08,0,estado
Aguascalientes,2019/09,0,estado
Aguascalientes,2019/10,0,estado
Aguascalientes,2019/11,0,estado
Aguascalientes,2019/12,0,estado
Aguascalientes,2020/01,0,estado
Aguascalientes,2020/02,0,estado
Aguascalientes,2020/03,0,estado
Aguascalientes,2020/04,0,estado
Aguascalientes,2020/05,0,estado
Aguascalientes,2020/06,0,estado
Aguascalientes,2020/07,0,estado
Aguascalientes,2020/08,0,estado
Aguascalientes,2020/09,0,estado
Baja_California,2012/01,36,estado
Baja_California,2012/02,689,estado
Baja_California,2012/03,950,estado
Baja_California,2012/04,546,estado
Baja_California,2012/05,466,estado
Baja_California,2012/06,874,estado
Baja_California,2012/07,829,estado
Baja_California,2012/08,468,estado
Baja_California,2012/09,637,estado
Baja_California,2012/10,324,estado
Baja_California,2012/11,59,estado
Baja_California,2012/12,0,estado
Baja_California,2013/01,466,estado
Baja_California,2013/02,95,estado
Baja_California,2013/03,309,estado
Baja_California,2013/04,268,estado
Baja_California,2013/05,292,estado
Baja_California,2013/06,187,estado
Baja_California,2013/07,325,estado
Baja_California,2013/08,249,estado
Baja_California,2013/09,151,estado
