tipo,Nombre_de_la_Serie,valor,categoria
Aguascalientes,2016/11,756,estado
Aguascalientes,2016/12,659,estado
Aguascalientes,2017/01,444,estado
Aguascalientes,2017/02,880,estado
Aguascalientes,2017/03,811,estado
Aguascalientes,2017/04,578,estado
Aguascalientes,2017/05,1016,estado
Aguascalientes,2017/06,948,estado
Aguascalientes,2017/07,1041,estado
Aguascalientes,2017/08,954,estado
Aguascalientes,2017/09,844,estado
Aguascalientes,2017/10,900,estado
Aguascalientes,2017/11,1046,estado
Aguascalientes,2017/12,1116,estado
Aguascalientes,2018/01,464,estado
Aguascalientes,2018/02,804,estado
Aguascalientes,2018/03,855,estado
Aguascalientes,2018/04,786,estado
Aguascalientes,2018/05,1081,estado
Aguascalientes,2018/06,992,estado
Aguascalientes,2018/07,926,estado
Aguascalientes,2018/08,1113,estado
Aguascalientes,2018/09,927,estado
Aguascalientes,2018/10,1123,estado
Aguascalientes,2018/11,1006,estado
Aguascalientes,2018/12,998,estado
Aguascalientes,2019/01,640,estado
Aguascalientes,2019/02,726,estado
Aguascalientes,2019/03,851,estado
Aguascalientes,2019/04,746,estado
Aguascalientes,2019/05,775,estado
Aguascalientes,2019/06,985,estado
Aguascalientes,2019/07,1053,estado
Aguascalientes,2019/08,1122,estado
Aguascalientes,2019/09,1075,estado
Aguascalientes,2019/10,966,estado
Aguascalientes,2019/11,1034,estado
Aguascalientes,2019/12,998,estado
Aguascalientes,2020/01,625,estado
Aguascalientes,2020/02,693,estado
Aguascalientes,2020/03,467,estado
Aguascalientes,2020/04,900,estado
Aguascalientes,2020/05,861,estado
Aguascalientes,2020/06,796,estado
Aguascalientes,2020/07,979,estado
Aguascalientes,2020/08,1050,estado
Aguascalientes,2020/09,892,estado
Apoyo_Infonavit,2012/01,313,Tipo_Credito
Apoyo_Infonavit,2012/02,326,Tipo_Credito
Apoyo_Infonavit,2012/03,403,Tipo_Credito
Apoyo_Infonavit,2012/04,356,Tipo_Credito
Apoyo_Infonavit,2012/05,293,Tipo_Credito
Apoyo_Infonavit,2012/06,423,Tipo_Credito
Apoyo_Infonavit,2012/07,354,Tipo_Credito
Apoyo_Infonavit,2012/08,295,Tipo_Credito
Apoyo_Infonavit,2012/09,252,Tipo_Credito
Apoyo_Infonavit,2012/10,309,Tipo_Credito
Apoyo_Infonavit,2012/11,218,Tipo_Credito
Apoyo_Infonavit,2012/12,160,Tipo_Credito
Apoyo_Infonavit,2013/01,368,Tipo_Credito
Apoyo_Infonavit,2013/02,268,Tipo_Credito
Apoyo_Infonavit,2013/03,181,Tipo_Credito
Apoyo_Infonavit,2013/04,279,Tipo_Credito
Apoyo_Infonavit,2013/05,211,Tipo_Credito
Apoyo_Infonavit,2013/06,188,Tipo_Credito
Apoyo_Infonavit,2013/07,278,Tipo_Credito
Apoyo_Infonavit,2013/08,247,Tipo_Credito
Apoyo_Infonavit,2013/09,230,Tipo_Credito
Apoyo_Infonavit,2013/10,259,Tipo_Credito
Apoyo_Infonavit,2013/11,282,Tipo_Credito
Apoyo_Infonavit,2013/12,98,Tipo_Credito
Apoyo_Infonavit,2014/01,396,Tipo_Credito
Apoyo_Infonavit,2014/02,172,Tipo_Credito
Apoyo_Infonavit,2014/03,297,Tipo_Credito
Apoyo_Infonavit,2014/04,183,Tipo_Credito
Apoyo_Infonavit,2014/05,216,Tipo_Credito
Apoyo_Infonavit,2014/06,119,Tipo_Credito
Apoyo_Infonavit,2014/07,279,Tipo_Credito
Apoyo_Infonavit,2014/08,111,Tipo_Credito
Apoyo_Infonavit,2014/09,120,Tipo_Credito
Apoyo_Infonavit,2014/10,313,Tipo_Credito
Apoyo_Infonavit,2014/11,288,Tipo_Credito
Apoyo_Infonavit,2014/12,101,Tipo_Credito
Apoyo_Infonavit,2015/01,137,Tipo_Credito
Apoyo_Infonavit,2015/02,163,Tipo_Credito
Apoyo_Infonavit,2015/03,175,Tipo_Credito
Apoyo_Infonavit,2015/04,300,Tipo_Credito
Apoyo_Infonavit,2015/05,138,Tipo_Credito
Apoyo_Infonavit,2015/06,387,Tipo_Credito
Apoyo_Infonavit,2015/07,252,Tipo_Credito
Apoyo_Infonavit,2015/08,333,Tipo_Credito
Apoyo_Infonavit,2015/09,302,Tipo_Credito
Apoyo_Infonavit,2015/10,417,Tipo_Credito
Apoyo_Infonavit,2015/11,279,Tipo_Credito
Apoyo_Infonavit,2015/12,349,Tipo_Credito
Apoyo_Infonavit,2016/01,278,Tipo_Credito
Apoyo_Infonavit,2016/02,321,Tipo_Credito
Apoyo_Infonavit,2016/03,346,Tipo_Credito
Apoyo_Infonavit,2016/04,297,Tipo_Credito
Apoyo_Infonavit,2016/05,206,Tipo_Credito
Apoyo_Infonavit,2016/06,704,Tipo_Credito
Apoyo_Infonavit,2016/07,401,Tipo_Credito
Apoyo_Infonavit,2016/08,454,Tipo_Credito
Apoyo_Infonavit,2016/09,323,Tipo_Credito
Apoyo_Infonavit,2016/10,379,Tipo_Credito
Apoyo_Infonavit,2016/11,191,Tipo_Credito
Apoyo_Infonavit,2016/12,16,Tipo_Credito
Apoyo_Infonavit,2017/01,402,Tipo_Credito
Apoyo_Infonavit,2017/02,359,Tipo_Credito
Apoyo_Infonavit,2017/03,597,Tipo_Credito
Apoyo_Infonavit,2017/04,195,Tipo_Credito
Apoyo_Infonavit,2017/05,531,Tipo_Credito
Apoyo_Infonavit,2017/06,489,Tipo_Credito
Apoyo_Infonavit,2017/07,537,Tipo_Credito
Apoyo_Infonavit,2017/08,395,Tipo_Credito
Apoyo_Infonavit,2017/09,194,Tipo_Credito
Apoyo_Infonavit,2017/10,452,Tipo_Credito
Apoyo_Infonavit,2017/11,368,Tipo_Credito
Apoyo_Infonavit,2017/12,450,Tipo_Credito
Apoyo_Infonavit,2018/01,387,Tipo_Credito
Apoyo_Infonavit,2018/02,481,Tipo_Credito
Apoyo_Infonavit,2018/03,176,Tipo_Credito
Apoyo_Infonavit,2018/04,432,Tipo_Credito
Apoyo_Infonavit,2018/05,380,Tipo_Credito
Apoyo_Infonavit,2018/06,431,Tipo_Credito
Apoyo_Infonavit,2018/07,532,Tipo_Credito
Apoyo_Infonavit,2018/08,451,Tipo_Credito
Apoyo_Infonavit,2018/09,526,Tipo_Credito
Apoyo_Infonavit,2018/10,597,Tipo_Credito
Apoyo_Infonavit,2018/11,250,Tipo_Credito
Apoyo_Infonavit,2018/12,277,Tipo_Credito
Apoyo_Infonavit,2019/01,812,Tipo_Credito
Apoyo_Infonavit,2019/02,334,Tipo_Credito
Apoyo_Infonavit,2019/03,307,Tipo_Credito
Apoyo_Infonavit,2019/04,329,Tipo_Credito
Apoyo_Infonavit,2019/05,525,Tipo_Credito
Apoyo_Infonavit,2019/06,603,Tipo_Credito
Apoyo_Infonavit,2019/07,364,Tipo_Credito
Apoyo_Infonavit,2019/08,260,Tipo_Credito
Apoyo_Infonavit,2019/09,364,Tipo_Credito
Apoyo_Infonavit,2019/10,612,Tipo_Credito
Apoyo_Infonavit,2019/11,386,Tipo_Credito
Apoyo_Infonavit,2019/12,475,Tipo_Credito
Apoyo_Infonavit,2020/01,230,Tipo_Credito
Apoyo_Infonavit,2020/02,850,Tipo_Credito
Apoyo_Infonavit,2020/03,418,Tipo_Credito
Apoyo_Infonavit,2020/04,228,Tipo_Credito
Apoyo_Infonavit,2020/05,348,Tipo_Credito
Apoyo_Infonavit,2020/06,407,Tipo_Credito
Apoyo_Infonavit,2020/07,385,Tipo_Credito
Apoyo_Infonavit,2020/08,397,Tipo_Credito
Apoyo_Infonavit,2020/09,186,Tipo_Credito
Baja_California,2012/01,1679,estado
Baja_California,2012/02,2635,estado
Baja_California,2012/03,2868,estado
Baja_California,2012/04,2134,estado
Baja_California,2012/05,2917,estado
Baja_California,2012/06,3342,estado
Baja_California,2012/07,3239,estado
Baja_California,2012/08,2889,estado
Baja_California,2012/09,3156,estado
Baja_California,2012/10,3039,estado
Baja_California,2012/11,2715,estado
Baja_California,2012/12,2539,estado
Baja_California,2013/01,2462,estado
Baja_California,2013/02,2395,estado
Baja_California,2013/03,2472,estado
Baja_California,2013/04,3076,estado
