tipo,Nombre_de_la_Serie,valor,categoria
Aguascalientes,2015/10,230126468,estado
Aguascalientes,2015/11,192922096,estado
Aguascalientes,2015/12,385410097,estado
Aguascalientes,2016/01,106637865,estado
Aguascalientes,2016/02,212560352,estado
Aguascalientes,2016/03,229133880,estado
Aguascalientes,2016/04,202260547,estado
Aguascalientes,2016/05,199728610,estado
Aguascalientes,2016/06,282196353,estado
Aguascalientes,2016/07,191990117,estado
Aguascalientes,2016/08,220253733,estado
Aguascalientes,2016/09,215857330,estado
Aguascalientes,2016/10,240983353,estado
Aguascalientes,2016/11,225643659,estado
Aguascalientes,2016/12,222651194,estado
Aguascalientes,2017/01,155022584,estado
Aguascalientes,2017/02,255503368,estado
Aguascalientes,2017/03,232078080,estado
Aguascalientes,2017/04,157840826,estado
Aguascalientes,2017/05,296861069,estado
Aguascalientes,2017/06,286834924,estado
Aguascalientes,2017/07,308869161,estado
Aguascalientes,2017/08,285436332,estado
Aguascalientes,2017/09,251297148,estado
Aguascalientes,2017/10,268146164,estado
Aguascalientes,2017/11,295004703,estado
Aguascalientes,2017/12,317403185,estado
Aguascalientes,2018/01,150133935,estado
Aguascalientes,2018/02,250874234,estado
Aguascalientes,2018/03,251365849,estado
Aguascalientes,2018/04,255289184,estado
Aguascalientes,2018/05,312839621,estado
Aguascalientes,2018/06,310346680,estado
Aguascalientes,2018/07,313372243,estado
Aguascalientes,2018/08,381047582,estado
Aguascalientes,2018/09,314871525,estado
Aguascalientes,2018/10,346830568,estado
Aguascalientes,2018/11,321054386,estado
Aguascalientes,2018/12,341822636,estado
Aguascalientes,2019/01,213368395,estado
Aguascalientes,2019/02,242555278,estado
Aguascalientes,2019/03,285543355,estado
Aguascalientes,2019/04,278935413,estado
Aguascalientes,2019/05,276992223,estado
Aguascalientes,2019/06,352034842,estado
Aguascalientes,2019/07,384820084,estado
Aguascalientes,2019/08,363390968,estado
Aguascalientes,2019/09,324797083,estado
Aguascalientes,2019/10,346864477,estado
Aguascalientes,2019/11,338830305,estado
Aguascalientes,2019/12,387606117,estado
Aguascalientes,2020/01,241344590,estado
Aguascalientes,2020/02,224500705,estado
Aguascalientes,2020/03,136701106,estado
Aguascalientes,2020/04,334094174,estado
Aguascalientes,2020/05,329700734,estado
Aguascalientes,2020/06,285480459,estado
Aguascalientes,2020/07,333729312,estado
Aguascalientes,2020/08,366090483,estado
Aguascalientes,2020/09,311994751,estado
Apoyo_Infonavit,2012/01,462318031,Tipo_Credito
Apoyo_Infonavit,2012/02,555633056,Tipo_Credito
Apoyo_Infonavit,2012/03,556785898,Tipo_Credito
Apoyo_Infonavit,2012/04,397884436,Tipo_Credito
Apoyo_Infonavit,2012/05,290932011,Tipo_Credito
Apoyo_Infonavit,2012/06,468264246,Tipo_Credito
Apoyo_Infonavit,2012/07,378259751,Tipo_Credito
Apoyo_Infonavit,2012/08,290353184,Tipo_Credito
Apoyo_Infonavit,2012/09,277627628,Tipo_Credito
Apoyo_Infonavit,2012/10,317905584,Tipo_Credito
Apoyo_Infonavit,2012/11,472261837,Tipo_Credito
Apoyo_Infonavit,2012/12,185015659,Tipo_Credito
Apoyo_Infonavit,2013/01,429693038,Tipo_Credito
Apoyo_Infonavit,2013/02,329672692,Tipo_Credito
Apoyo_Infonavit,2013/03,218432618,Tipo_Credito
Apoyo_Infonavit,2013/04,317682769,Tipo_Credito
Apoyo_Infonavit,2013/05,249586466,Tipo_Credito
Apoyo_Infonavit,2013/06,255727899,Tipo_Credito
Apoyo_Infonavit,2013/07,324577562,Tipo_Credito
Apoyo_Infonavit,2013/08,322567714,Tipo_Credito
